"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"A549_SC1"	38.48	0	0	1.07	1	26.5	47.92	0.01	0.14	46	0	0	0	144041	0	0	0	374320	187	0	0.05	34.97	130902	0	99190	0	73.45	274943	25.898243075729
"A549_SC2"	39.1	0	0	1.05	1	25.43	47.5	0.02	0.14	48	0	0	0	137137	0	35	0.01	350749	246	0	0.07	35.39	124120	0	89211	0	74.49	261257	27.59639466065
"A549_SC3"	38.11	0	0	1.09	1	20.44	50.99	0.02	0.12	48	0	0	0	133064	0	0	0	349154	384	0	0.11	41.33	144317	0	71389	0	79.44	277381	32.8180755506337
"A549_SC4"	29.51	0	0	1.11	1	49.63	50.6	0.02	0.07	39	0	0	0	81391	0	0	0	275837	221	0	0.08	20.77	57305	0	136920	0	50.28	138696	19.374007350322
"A549_SC5"	42.73	0	0	1.14	1	18.12	50.77	0.02	0.12	50	0	0	0	187146	0	0	0	437978	394	0	0.09	39.05	171049	0	79389	0	81.78	358195	36.287573409408
"A549_SC6"	40.66	0	0	1.05	1	24.26	47.02	0.02	0.13	49	0	0	0	159338	0	39	0.01	391850	196	0	0.05	35.03	137263	0	95014	0	75.69	296601	29.0396675037817
"BJ_SC1"	38.86	0	0	1.08	1	16.44	50.58	0.04	0.21	52	0	0	0	121539	0	0	0	312750	407	0	0.13	44.56	139368	0	51436	0	83.42	260907	35.5018498838635
"BJ_SC2"	41.97	0	0	1.1	1	22.11	47.51	0.03	0.14	48	0	0	0	97930	0	23	0.01	233342	187	0	0.08	35.83	83599	0	51603	0	77.8	181529	27.5755053182601
"BJ_SC3"	26.4	0	0	1.13	1	49.5	35.63	0.03	0.15	38	0	0	0	61626	0	0	0	233394	93	0	0.04	24.05	56139	0	115536	0	50.45	117765	21.7525420911182
"BJ_SC4"	39.75	0	0	1.08	1	25.08	45.74	0.04	0.14	48	0	0	0	116616	0	0	0	293394	264	0	0.09	35.08	102917	0	73597	0	74.83	219533	29.2831313167692
"BJ_SC5"	41.46	0	0	1.06	1	22.73	48.46	0.03	0.14	48	0	0	0	131341	0	0	0	316797	348	0	0.11	35.7	113106	0	72002	0	77.16	244447	32.9397671212756
"BJ_SC6"	20.69	0	0	1	1	46.79	19.96	0	0.1	40	0	0	0	41565	0	20	0.01	200907	181	0	0.09	32.42	65135	0	94006	0	53.11	106700	20.6385373911496
"HT29_SC1"	46.15	0	0	1.09	1	21.92	50.81	0.03	0.13	50	0	0	0	233876	0	0	0	506725	304	0	0.06	31.87	161487	0	111058	0	78.02	395363	36.1280848586861
"HT29_SC2"	37.69	0	0	1.19	1	30.17	45.66	0.01	0.12	46	0	0	0	158322	0	0	0	420067	168	0	0.04	32.1	134845	0	126732	0	69.79	293167	30.0896427427764
"HT29_SC3"	41.91	0	0	1.17	1	22.05	46.98	0.01	0.13	49	0	0	0	163878	0	0	0	390988	313	0	0.08	35.95	140579	0	86218	0	77.86	304457	31.9646942347285
"HT29_SC4"	43.69	0	0	1.15	1	21.04	48.9	0.02	0.13	49	0	0	0	213471	0	0	0	488585	293	0	0.06	35.21	172034	0	102787	0	78.9	385505	35.5334604717271
"HT29_SC5"	44.15	0	0	1.15	1	23.39	50.46	0.01	0.11	49	0	0	0	179398	0	0	0	406292	284	0	0.07	32.38	131563	0	95047	0	76.53	310961	36.7448922920581
"HT29_SC6"	50.76	0	0	1.08	1	18.55	52.13	0.02	0.11	50	0	0	0	257491	0	0	0	507256	203	0	0.04	30.65	155455	0	94107	0	81.41	412946	49.427085515252
"HepG2_SC1"	53.43	0	0	1.12	1	11.43	57.12	0.05	0.13	56	0	0	0	305629	0	0	0	572065	286	0	0.05	35.09	200737	0	65413	0	88.52	506366	47.5407465825447
"HepG2_SC2"	44.9	0	0	1.14	1	20.97	53.12	0.05	0.12	51	0	0	0	188988	0	0	0	420875	253	0	0.06	34.06	143341	0	88293	0	78.96	332329	35.6443470081418
