Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	adapt_3p	adapt_polya
A549_SC1	1061628	901788	374320	80683728	82754	17530595	1	1063
A549_SC2	946707	782482	350749	71949732	61373	16955053	2	1114
A549_SC3	845208	675449	349154	64235808	52562	17072931	7	1053
A549_SC4	715887	623222	275837	54407412	28662	10798789	0	396
A549_SC5	987101	753996	437978	75019676	54145	22071744	1	1777
A549_SC6	1021365	826403	391850	77623740	76107	19201618	1	1432
BJ_SC1	734911	562714	312750	55853236	40834	16326501	21	277
BJ_SC2	658298	550861	233342	50030648	50383	11214753	148	252
BJ_SC3	541385	488529	233394	41145260	35679	8919910	12	200
BJ_SC4	749691	617339	293394	56976516	59115	14184646	21	353
BJ_SC5	742103	597186	316797	56399828	59066	15408254	15	286
BJ_SC6	516994	472888	200907	39291544	61542	8141834	13	360
HepG2_SC1	1065120	681787	572065	80949120	61460	32073081	35	1063
HepG2_SC2	932347	708307	420875	70858372	71735	21523527	27	519
HepG2_SC3	1037161	722729	596342	78824236	66594	30530533	32	905
HepG2_SC4	868836	671519	384305	66031536	72691	19513086	13	869
HepG2_SC5	1043697	810470	444137	79320972	90945	22550887	39	923
HepG2_SC6	943993	681928	440152	71743468	79194	23628168	17	639
HT29_SC1	1094337	831557	506725	83169612	79936	25588823	45	572
HT29_SC2	974312	804138	420067	74047712	69093	19352612	16	455
HT29_SC3	952479	762896	390988	72388404	71234	19246931	66	727
HT29_SC4	1084907	844190	488585	82452932	86519	24282111	132	786
HT29_SC5	846270	645467	406292	64316520	65488	20163790	90	679
HT29_SC6	835465	579333	507256	63495340	51544	25409397	451877	394
Jurkat_SC1	1000842	664501	541170	76063992	43901	29174678	2	1612
Jurkat_SC2	1116638	929018	407104	84864488	71942	19765309	0	517
Jurkat_SC3	916638	807654	337747	69664488	61119	14213974	3	319
Jurkat_SC4	637450	512006	260261	48446200	41290	12687797	2	297
Jurkat_SC5	599475	467287	255203	45560100	37559	12940019	0	486
Jurkat_SC6	912336	777870	363835	69337536	69057	16372012	5	211
KG1_SC1	716160	605468	252533	54428160	73281	11884217	46	684
KG1_SC2	769991	627566	334905	58519316	67729	15990061	47	512
KG1_SC3	896123	723122	387785	68105348	86338	18584759	29	709
KG1_SC4	853059	653544	419405	64832484	75621	20587892	29	599
KG1_SC5	545706	398407	352578	41473656	35788	16154134	8	456
KG1_SC6	524872	367207	283807	39890272	51489	14852001	21	602
REH_SC1	833239	715776	283290	63326164	80076	13044307	0	458
REH_SC2	768733	726700	225338	58423708	80701	8535667	0	311
REH_SC3	702753	567235	285576	53409228	45989	13555724	0	284
REH_SC4	852527	769344	423705	64792052	44488	16112165	6	280
REH_SC5	808546	693447	585981	61449496	21294	23138157	11	59
REH_SC6	654694	586504	219959	49756744	59822	9279442	2	216
THP-1_SC1	535490	421461	237276	40697240	36844	11723291	2	207
THP-1_SC2	570677	428545	246835	43371452	30296	12988539	0	179
THP-1_SC3	321225	260130	126437	24413100	25479	6151727	6	161
THP-1_SC4	537892	450221	182356	40879792	49735	8920523	4	262
THP-1_SC5	687193	656496	170791	52226668	99604	6153662	0	282
THP-1_SC6	725852	653381	216531	55164752	89041	9240439	0	344
