"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"18-043_SC6_S5_L001_R1_001"	22.9	0	0	1.08	1	67.64	28.87	0.02	0.06	33	0	0	0	45712	0	0	0	199595	80	0	0.04	9.42	18798	0	135005	0	32.32	64510	12.7813187880037
"18-043_SC7_S6_L001_R1_001"	23.01	0	0	1.09	1	66.67	29.03	0.02	0.07	34	0	0	0	52264	0	0	0	227167	45	0	0.02	10.3	23395	0	151463	0	33.31	75659	13.0212842123017
"18-043_SC8_S7_L001_R1_001"	23.94	0	0	1.02	1	66.67	28.74	0.03	0.06	35	0	0	0	52886	0	0	0	220870	22	0	0.01	9.37	20697	0	147265	0	33.31	73583	13.55481666375
"18-043_SC9_S8_L001_R1_001"	20.14	0	0	1	1	69.97	23.79	0.02	0.06	33	0	0	0	41033	0	0	0	203696	61	0	0.03	9.85	20070	0	142532	0	29.99	61103	11.2130821432635
"19-020_SC2_S21_L001_R1_001"	23.43	0	0	1.42	1	64.5	24.02	0.02	0.06	35	0	0	0	40122	0	0	0	171245	17	0.01	0.01	12.06	20658	0	110448	0	35.49	60780	14.3282484317428
"19-020_SC6_S22_L001_R1_001"	20.97	0	0	0	1	67.97	19.57	0	0.05	34	0	0	0	31386	0	0	0	149663	30	0	0.02	11.03	16514	0	101733	0	32	47900	12.8476096472406
"19-032_SC10_S31_L001_R1_001"	24.25	0	0	1	1	65.02	27.78	0.02	0.06	35	0	0	0	43139	0	0	0	177905	36	0	0.02	10.71	19057	0	115673	0	34.96	62196	13.2041423761342
"19-032_SC11_S32_L001_R1_001"	19.96	0	0	0	1	71.49	19.45	0	0.05	33	0	0	0	39655	0	0	0	198698	20	0	0.01	8.54	16969	0	142054	0	28.5	56624	11.2163824472647
"19-032_SC12_S33_L001_R1_001"	24.33	0	0	1.28	1	63.11	24.62	0.03	0.07	35	0	0	0	64908	0	0	0	266776	53	0	0.02	12.54	33461	0	168354	0	36.87	98369	15.3226798840468
"19-032_SC13_S1_L001_R1_001"	24.8	0	0	1	1	62.29	22.35	0.02	0.08	38	0	0	0	48975	0	0	0	197500	39	0	0.02	12.89	25465	0	123021	0	37.69	74440	16.4001603884573
"19-032_SC14_S2_L001_R1_001"	24.33	0	0	1	1	61.13	21.3	0.01	0.07	37	0	0	0	59339	0	24	0.01	243937	24	0	0.01	14.52	35417	0	149132	0	38.85	94756	16.785976846562
"19-032_SC15_S3_L001_R1_001"	25.97	0	0	1.15	1	60.12	26.06	0.03	0.13	38	0	0	0	54015	0	0	0	207969	42	0	0.02	13.89	28893	0	125019	0	39.86	82908	16.1830124044777
"19-032_SC16_S4_L001_R1_001"	27.9	0	0	1.07	1	58.34	30.91	0.03	0.05	39	0	0	0	75259	0	27	0.01	269774	54	0	0.02	13.74	37068	0	157366	0	41.64	112327	19.539650040792
"19-032_SC17_S5_L001_R1_001"	22.09	0	0	1	1	62.55	20.09	0	0.1	36	0	0	0	47671	0	0	0	215793	22	0	0.01	15.35	33126	0	134974	0	37.44	80797	14.4709057726372
"19-032_SC19_S6_L001_R1_001"	29.19	0	0	1.07	1	55.7	29.15	0.02	0.06	39	0	0	0	80286	0	0	0	275072	28	0	0.01	15.11	41550	0	153208	0	44.3	121836	19.3480152705699
"19-032_SC1_S23_L001_R1_001"	22.7	0	0	0	1	60.76	21.09	0	0.13	33	0	0	0	47259	0	0	0	208165	21	0	0.01	16.53	34414	0	126471	0	39.23	81673	16.8377107986641
"19-032_SC20_S7_L001_R1_001"	25.31	0	0	1.04	1	61.77	24.1	0.03	0.08	38	0	0	0	67486	0	0	0	266660	27	0	0.01	12.91	34422	0	164725	0	38.22	101908	17.0805454618592
"19-032_SC21_S8_L001_R1_001"	24.62	0	0	1	1	53.15	22.58	0	0.22	39	0	0	0	84264	0	0	0	342296	34	0	0.01	22.22	76045	0	181953	0	46.84	160309	25.3194765811939
"19-032_SC22_S9_L001_R1_001"	24.19	0	0	1.11	1	64.55	22.51	0.02	0.05	37	0	0	0	54087	0	22	0.01	223603	22	0	0.01	11.24	25142	0	144329	0	35.43	79229	16.4889343972295
"19-032_SC24_S10_L001_R1_001"	22.32	0	0	0	0	65.91	19.53	0	0.05	36	0	0	0	51749	0	0	0	231890	23	0	0.01	11.76	27278	0	152840	0	34.08	79027	14.967291542771
"19-032_SC25_S11_L001_R1_001"	26.86	0	0	2.35	1	60.4	25.14	0.01	0.31	39	0	0	0	78978	2	29	0.01	294071	265	0.01	0.09	12.65	37199	0	177598	0	39.51	116177	18.9113254384894
"19-032_SC26_S12_L001_R1_001"	27.16	0	0	1.13	1	59.22	28.43	0.02	0.05	39	0	0	0	65495	0	0	0	241167	48	0	0.02	13.61	32819	0	142805	0	40.77	98314	17.0620637471495
"19-032_SC27_S13_L001_R1_001"	22.42	0	0	2	1	65.36	20.24	0	0.09	35	0	0	0	49582	0	0	0	221146	44	0	0.02	12.2	26985	0	144535	0	34.62	76567	12.7864198458622
"19-032_SC28_S14_L001_R1_001"	22.32	0	0	1	1	64.89	19.39	0	0.05	35	0	0	0	41096	0	18	0.01	184163	18	0	0.01	12.78	23528	0	119502	0	35.1	64624	12.3462781007548
"19-032_SC29_S15_L001_R1_001"	22.05	0	0	1	1	63.36	19.76	0	0.08	35	0	0	0	39389	0	0	0	178675	36	0	0.02	14.57	26037	0	113213	0	36.62	65426	12.5556286929872
"19-032_SC2_S24_L001_R1_001"	20.13	0	0	2	1	67.85	19.98	0	0.1	33	0	0	0	44575	0	0	0	221464	44	0	0.02	11.99	26563	0	150282	0	32.12	71138	13.2494463721311
"19-032_SC30_S16_L001_R1_001"	23	0	0	0	1	65.15	19.44	0	0.06	36	0	0	0	48864	0	0	0	212494	21	0	0.01	11.83	25145	0	138464	0	34.83	74009	12.7858543453661
"19-032_SC31_S17_L001_R1_001"	21.63	0	0	0	1	67.08	19.39	0	0.03	35	0	0	0	31922	0	0	0	147565	15	0	0.01	11.28	16652	0	98976	0	32.91	48574	11.6257195170111
"19-032_SC3_S25_L001_R1_001"	21.59	0	0	1	1	62.72	21.86	0.01	0.12	33	0	0	0	43882	0	0	0	203239	0	0	0	15.68	31858	0	127499	0	37.27	75740	14.7545550354253
"19-032_SC4_S26_L001_R1_001"	21.17	0	0	1	1	68.95	19.72	0	0.07	34	0	0	0	39970	0	0	0	188798	38	0	0.02	9.86	18611	0	130179	0	31.03	58581	12.1161041330143
"19-032_SC5_S27_L001_R1_001"	20.8	0	0	1	1	59.12	21.22	0	0.16	33	0	0	0	52545	0	0	0	252646	51	0	0.02	20.06	50679	0	149371	0	40.86	103224	16.8774218864963
"19-032_SC6_S28_L001_R1_001"	20.45	0	0	0	1	64.73	20.11	0	0.11	34	0	0	0	45710	0	0	0	223473	45	0	0.02	14.8	33067	0	144651	0	35.25	78777	13.3334574541909
"19-032_SC7_S29_L001_R1_001"	21.9	0	0	1	1	56.78	21.39	0	0.19	34	0	0	0	41428	0	0	0	189177	38	0	0.02	21.29	40279	0	107432	0	43.19	81707	18.0056237962388
"19-032_SC9_S30_L001_R1_001"	20.25	0	0	1	1	68.64	19.62	0	0.05	34	0	0	0	31527	0	0	0	155661	16	0	0.01	11.1	17272	0	106846	0	31.35	48799	10.8087694583987
"19-135_SC1_S18_L001_R1_001"	21.87	0	0	1.95	1	62.12	22.07	0.01	0.11	34	0	0	0	51590	0	0	0	235861	47	0	0.02	15.99	37710	0	146514	0	37.86	89300	17.6806475116419
"19-135_SC2_S19_L001_R1_001"	22.06	0	0	1.71	1	64.37	21.49	0.01	0.06	35	0	0	0	37993	0	0	0	172224	34	0	0.02	13.55	23335	0	110862	0	35.61	61328	14.4126529029529
"19-135_SC4_S20_L001_R1_001"	22.61	0	0	1.25	1	63.43	21.79	0.01	0.07	35	0	0	0	37776	0	0	0	167043	84	0	0.05	13.91	23232	0	105951	0	36.52	61008	13.9599698870306
"19-231_SC10_S28_L001_R1_001"	24.32	0	0	1	1	55.97	21.04	0	0.08	35	0	0	0	30498	0	13	0.01	125400	50	0	0.04	19.67	24667	0	70172	0	43.99	55165	13.424492855196
"19-231_SC11_S29_L001_R1_001"	17.2	0	0	1.51	1	35.03	27.56	0.01	0.14	36	0	0	0	35423	0	0	0	205899	803	0.01	0.39	47.37	97541	0	72132	0	64.57	132964	21.6693502649918
"19-231_SC12_S30_L001_R1_001"	24.18	0	0	1.37	1	55.3	26.33	0.01	0.07	36	0	0	0	37974	0	16	0.01	157020	126	0	0.08	20.42	32069	0	86836	0	44.6	70043	13.0102216138002
"19-231_SC13_S31_L001_R1_001"	23.97	0	0	1	1	58.9	24.71	0.01	0.07	36	0	0	0	55102	0	0	0	229906	115	0	0.05	17.08	39275	0	135414	0	41.05	94377	14.0930186718274
"19-231_SC2_S24_L001_R1_001"	19.49	0	0	0	1	71.03	18.93	0	0.02	32	0	0	0	36608	0	0	0	187822	19	0	0.01	9.47	17782	0	133413	0	28.96	54390	11.7962943282792
"19-231_SC3_S25_L001_R1_001"	19.2	0	0	1	1	68.47	19.12	0	0.03	32	0	0	0	41632	0	0	0	216838	65	0	0.03	12.3	26679	0	148462	0	31.5	68311	10.813784325862
"19-231_SC6_S26_L001_R1_001"	22.31	0	0	1.47	1	58.24	24.89	0.01	0.07	35	0	0	0	31460	0	14	0.01	141014	56	0	0.04	19.4	27360	0	82123	0	41.71	58820	11.6937904819464
"19-231_SC9_S27_L001_R1_001"	26.5	0	0	1.75	1	49.68	22.53	0	0.08	36	0	0	0	34014	0	0	0	128373	51	0	0.04	23.79	30535	0	63773	0	50.29	64549	13.2764968427981
"19-295_SC1_S32_L001_R1_001"	19.79	0	0	1	1	68.76	19.07	0	0.04	33	0	0	0	55506	0	0	0	280504	28	0	0.01	11.44	32099	0	192871	0	31.23	87605	12.5720411466884
"19-295_SC3_S33_L001_R1_001"	20.8	0	0	1	1	64.87	23.74	0.01	0.06	33	0	0	0	32392	0	0	0	155711	47	0	0.03	14.3	22259	0	101013	0	35.1	54651	12.0065644937343
"19-295_SC4_S34_L001_R1_001"	22.28	0	0	1.09	1	60.84	24.7	0.02	0.06	35	0	0	0	47775	0	0	0	214386	43	0	0.02	16.86	36135	0	130433	0	39.14	83910	13.1179063877685
"19-295_SC5_S35_L001_R1_001"	23.44	0	0	1.03	1	59.17	23.86	0.01	0.07	36	0	0	0	51713	0	0	0	220614	66	0	0.03	17.36	38305	0	130530	0	40.8	90018	13.8374060973866
"19-315_SC1_S21_L001_R1_001"	23.78	0	0	1	1	67.28	23.51	0.01	0.05	35	0	0	0	50242	0	0	0	211294	0	0	0	8.94	18885	0	142167	0	32.72	69127	15.755082505242
"19-315_SC3_S22_L001_R1_001"	22.35	0	0	0	1	65.57	19.68	0	0.04	34	0	0	0	28433	0	0	0	127198	13	0	0.01	12.06	15341	0	83411	0	34.41	43774	9.71139148395227
"negative_S23_L001_R1_001"	21.89	0	0	0	1	65.09	19.37	0	0.05	35	0	0	0	33291	0	0	0	152098	15	0	0.01	13.01	19795	0	98997	0	34.9	53086	11.4151166541232
"negative_S34_L001_R1_001"	19.97	0	0	1.04	1	70.71	19.57	0	0.09	33	0	0	0	34152	0	0	0	171003	17	0	0.01	9.31	15925	0	120909	0	29.28	50077	11.154273648009
