"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"18-043_SC10_S9_L001_R1_001"	24.89	0	0	1.03	1	64.56	33.41	0.03	0.07	35	0	0	0	47866	0	0	0	192348	58	0	0.03	10.53	20251	0	124173	0	35.42	68117	14.0542179985268
"18-043_SC11_S10_L001_R1_001"	26.32	0	0	1.14	1	58.14	27.76	0.02	0.07	37	0	0	0	35689	0	0	0	135591	41	0	0.03	15.51	21024	0	78837	0	41.83	56713	11.1751955703561
"18-043_SC12_S11_L001_R1_001"	11.55	0	0	1	1	73.16	19.86	0.01	0.06	26	0	0	0	14582	0	0	0	126230	13	0	0.01	15.28	19282	0	92353	0	26.83	33864	6.18901497360019
"18-043_SC14_S12_L001_R1_001"	28.86	0	0	1.33	1	55.19	28.84	0.01	0.05	39	0	0	0	37924	0	0	0	131404	26	0	0.02	15.93	20937	0	72517	0	44.79	58861	11.9088179596329
"18-043_SC15_S13_L001_R1_001"	23.05	0	0	2.67	1	46.84	20.54	0	0.06	37	0	0	0	30814	0	0	0	133659	53	0	0.04	30.07	40193	0	62599	0	53.12	71007	16.363699214159
"18-043_SC16_S14_L001_R1_001"	26.66	0	0	1	1	56.17	20.09	0	0.06	38	0	0	0	31515	1	0	0	118216	24	0	0.02	17.15	20279	0	66397	0	43.81	51794	10.8487285827992
"18-043_SC18_S15_L001_R1_001"	26.42	0	0	1	1	57.59	21.67	0	0.06	37	0	0	0	33328	0	0	0	126132	13	0	0.01	15.97	20149	0	72642	0	42.39	53477	11.7042860488377
"18-043_SC19_S16_L001_R1_001"	25.87	0	0	1	1	56.76	20.54	0	0.09	38	0	0	0	38506	0	0	0	148833	0	0	0	17.36	25844	0	84483	0	43.23	64350	13.4831884440589
"18-043_SC1_S1_L001_R1_001"	22.92	0	0	1.13	1	66.71	28.26	0.03	0.07	34	0	0	0	43578	0	0	0	190129	57	0	0.03	10.33	19649	0	126845	0	33.25	63227	14.0374987511517
"18-043_SC20_S17_L001_R1_001"	27.23	0	0	1	1	53.28	25.24	0	0.07	39	0	0	0	31533	0	0	0	115787	12	0	0.01	19.47	22544	0	61698	0	46.7	54077	14.0567082395388
"18-043_SC21_S18_L001_R1_001"	25.02	0	0	1	1	61.73	19.89	0	0.06	37	0	0	0	37044	0	15	0.01	148055	0	0	0	13.24	19605	0	91391	0	38.26	56649	12.4151307282649
"18-043_SC22_S19_L001_R1_001"	24.07	0	0	0	0	59.55	20.29	0	0.06	37	0	0	0	33916	0	0	0	140910	14	0	0.01	16.36	23058	0	83922	0	40.43	56974	11.4289497017087
"18-043_SC23_S20_L001_R1_001"	23.33	0	0	0	1	63.28	20.24	0	0.06	35	0	0	0	26084	0	11	0.01	111808	0	0	0	13.38	14955	0	70758	0	36.71	41039	9.38111478887406
"18-043_SC2_S2_L001_R1_001"	25.06	0	0	1.03	1	66.29	32.58	0.03	0.06	35	0	0	0	64673	0	0	0	258059	52	0	0.02	8.63	22265	0	171069	0	33.69	86938	14.1351569308412
"18-043_SC3_S3_L001_R1_001"	20.8	0	0	1	1	70.72	19.97	0	0.05	33	0	0	0	44185	0	0	0	212380	21	0	0.01	8.46	17968	0	150206	0	29.26	62153	10.8588470435311
"18-043_SC4_S4_L001_R1_001"	19.05	0	0	1.04	1	72.03	29.39	0.02	0.1	33	0	0	0	56145	0	0	0	294734	88	0	0.03	8.89	26197	0	212304	0	27.94	82342	13.3687920808797
