"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"4N_C3_6"	28.84	0	0	1.25	1	47.78	22.08	0	0.08	42	0	0	0	11274	0	0	0	39095	8	0	0.02	23.36	9133	0	18680	0	52.2	20407	1.9145341162718
"4N_CL_1"	19.22	0	0	1.25	1	50.54	32.02	0	0.04	30	0	0	0	23735	0	0	0	123491	49	0	0.04	30.2	37296	0	62411	0	49.42	61031	18.3120651218334
"4N_CL_2"	17.85	0	0	1	1	39.59	30.07	0	0.1	32	0	0	0	17681	0	0	0	99027	69	0	0.07	42.48	42070	0	39207	0	60.33	59751	19.984480930609
"4N_CL_3"	15.34	0	0	1	1	45.43	31.11	0.01	0.11	30	0	0	0	16856	0	0	0	109849	461	0	0.42	38.81	42628	0	49904	0	54.15	59484	21.9698396693665
"4N_CL_4"	21.16	0	0	1.16	1	53.12	32.12	0.01	0.14	33	0	0	0	47999	0	0	0	226883	113	0	0.05	25.67	58237	0	120534	0	46.83	106236	11.4102696293241
"4N_CL_5"	20.39	0	0	1.02	1	54.17	32.19	0	0.12	32	0	0	0	69064	0	0	0	338765	102	0	0.03	25.41	86095	0	183504	0	45.8	155159	14.0399121187772
"4N_CL_6"	22.83	0	0	1.25	1	51.55	28.46	0	0.12	35	0	0	0	55337	0	0	0	242440	73	0	0.03	25.59	62045	0	124985	0	48.42	117382	12.7372735233511
"CL_1"	18.19	0	0	0	1	62.77	20.24	0	0.04	34	0	0	0	32969	0	0	0	181257	127	0	0.07	18.97	34388	0	113773	0	37.16	67357	15.6226008985251
"CL_2"	17.86	0	0	1	1	68.49	20.8	0	0.03	32	0	0	0	17719	0	0	0	99201	109	0	0.11	13.53	13423	0	67950	0	31.39	31142	10.5882672940792
"CL_3"	17.23	0	0	1	1	66.65	20.77	0	0.03	32	0	0	0	18996	0	0	0	110246	165	0	0.15	15.96	17596	0	73489	0	33.19	36592	10.4055349073961
"CL_4"	25.86	0	0	1.17	1	47.39	34.22	0.01	0.15	38	0	0	0	43649	0	17	0.01	168780	17	0	0.01	26.72	45104	0	79993	0	52.58	88753	9.9818252570444
"CL_5"	25.07	0	0	1	1	48.38	39.23	0.02	0.14	36	0	0	0	52451	0	21	0.01	209256	146	0	0.07	26.48	55411	0	101227	0	51.55	107862	11.6518383766803
"CL_6"	25.6	0	0	1	1	48.06	36.1	0.01	0.16	37	0	0	0	63694	0	25	0.01	248826	75	0	0.03	26.3	65442	0	119590	0	51.9	129136	12.8735375511408
"SBN_1"	28.89	0	0	1	1	51.39	27.04	0.02	0.08	44	0	0	0	5587	0	0	0	19339	4	0	0.02	19.7	3810	0	9938	0	48.59	9397	0.877778026872319
"SBN_2"	28.58	0	0	1	1	49.19	33.31	0.03	0.07	42	0	0	0	8044	0	0	0	28142	28	0	0.1	22.12	6225	0	13845	0	50.7	14269	1.12651037575346
"SBN_3"	28.54	0	0	1.25	1	50.66	29.64	0.03	0.09	41	0	0	0	6898	0	0	0	24167	17	0	0.07	20.72	5007	0	12245	0	49.26	11905	1.00467526330003
"SBN_4"	20.68	0	0	1.05	1	51.66	34.11	0.02	0.21	34	0	0	0	41119	0	40	0.02	198879	99	0	0.05	27.61	54905	0	102716	0	48.29	96024	10.9951690599992
"SBN_5"	23.07	0	0	1.03	1	49.59	29.55	0.02	0.19	37	0	0	0	59640	0	52	0.02	258560	78	0	0.03	27.29	70570	0	128221	0	50.36	130210	13.4659555698961
"SBN_6"	20.2	0	0	1.14	1	52.4	32.71	0.02	0.21	34	0	0	0	42116	0	21	0.01	208520	83	0	0.04	27.35	57037	0	109263	0	47.55	99153	11.3570814959052
"SBN_CL_1"	28.24	0	0	1.17	1	44.18	41.14	0.04	0.09	38	0	0	0	99926	0	0	0	353872	495	0	0.14	27.44	97093	0	156358	0	55.68	197019	31.5980664489764
"SBN_CL_2"	27.82	0	0	1.09	1	45.14	40.72	0.04	0.09	37	0	0	0	84214	0	0	0	302752	333	0	0.11	26.94	81560	0	136645	0	54.76	165774	29.4859252882354
"SBN_CL_3"	28.54	0	0	1.05	1	42.63	41.78	0.04	0.08	38	0	0	0	115078	0	0	0	403236	524	0	0.13	28.71	115768	0	171866	0	57.25	230846	33.1153340209469
"SBN_CL_4"	21.37	0	0	1.11	1	51.1	33.38	0.02	0.17	33	0	0	0	59769	0	28	0.01	279680	84	0	0.03	27.5	76909	0	142890	0	48.87	136678	17.8987633853097
"SBN_CL_5"	23.17	0	0	1.2	1	49.23	30.93	0.02	0.16	35	0	0	0	72961	0	31	0.01	314927	94	0	0.03	27.57	86813	0	155027	0	50.74	159774	18.9939870325328
"SBN_CL_6"	24.81	0	0	1.07	1	45.01	31.06	0.01	0.17	38	0	0	0	75786	0	31	0.01	305522	92	0	0.03	30.15	92121	0	137493	0	54.96	167907	17.7002447781711
"SB_1"	21.91	0	0	1.16	1	61.51	31.84	0.01	0.08	34	0	0	0	116125	0	53	0.01	529984	159	0	0.03	16.54	87663	0	325984	0	38.45	203788	26.8591996857895
"SB_2"	25.62	0	0	1.08	1	60	33.94	0.02	0.05	36	0	0	0	155780	0	0	0	608042	365	0	0.06	14.32	87085	0	364812	0	39.94	242865	27.0782997862636
"SB_3"	22.57	0	0	1.09	1	64.13	31.91	0.02	0.06	33	0	0	0	75472	0	0	0	334464	234	0	0.07	13.24	44268	0	214490	0	35.81	119740	21.230609382674
"SB_4"	18.72	0	0	1.12	1	49.81	29.24	0.02	0.18	32	0	0	0	49781	0	27	0.01	265941	213	0	0.08	31.38	83453	0	132468	0	50.1	133234	15.9584610962054
"SB_4N_1"	32.98	0	0	0	1	41.44	24.92	0.01	0.1	47	0	0	0	3591	0	0	0	10890	5	0	0.05	25.54	2781	0	4513	0	58.52	6372	2.74684772065955
"SB_4N_2"	30.89	0	0	1	1	45.2	24.07	0.01	0.07	47	0	0	0	3061	0	0	0	9909	8	0	0.08	23.83	2361	0	4479	0	54.72	5422	2.56943687535246
"SB_4N_3"	32.36	0	0	0	1	41.51	25.76	0.02	0.07	48	0	0	0	2513	0	0	0	7765	5	0	0.06	26.07	2024	0	3223	0	58.43	4537	2.32918696640981
"SB_4N_4"	20.84	0	0	1	1	52.71	26.27	0.02	0.14	34	0	0	0	26262	0	13	0.01	126034	76	0	0.06	26.39	33259	0	66425	0	47.23	59521	8.27672613146035
"SB_4N_5"	23.05	0	0	1	1	50.29	25.11	0.02	0.13	37	0	0	0	40053	0	17	0.01	173742	104	0	0.06	26.59	46197	0	87370	0	49.64	86250	9.67159198328749
"SB_4N_6"	19.89	0	0	1.67	1	53.74	25.64	0.02	0.14	33	0	0	0	24331	0	12	0.01	122340	49	0	0.04	26.32	32201	0	65747	0	46.21	56532	8.36501113470402
"SB_5"	19.55	0	0	1	1	47.39	33.55	0.02	0.17	33	0	0	0	45462	0	23	0.01	232600	209	0	0.09	32.97	76688	0	110217	0	52.52	122150	16.878447542089
"SB_6"	21.48	0	0	1.13	1	47.6	28	0.01	0.17	35	0	0	0	60537	0	28	0.01	281792	225	0	0.08	30.83	86887	0	134114	0	52.31	147424	16.8699156755965
