"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"4N_1"	23.91	0	0	0	1	46.52	25.57	0	0.09	37	0	0	0	4219	0	0	0	17645	25	0	0.14	29.43	5193	0	8208	0	53.34	9412	3.53036935345329
"4N_2"	44.31	0	0	0	1	27.89	19.79	0.01	0.06	65	0	0	0	1638	0	0	0	3697	0	0	0	27.81	1028	0	1031	0	72.12	2666	0.45006263062114
"4N_3"	42.37	0	0	1	1	29.37	21.68	0	0.15	61	0	0	0	4109	0	0	0	9698	3	0	0.03	28.23	2738	0	2848	0	70.6	6847	1.81464490258906
"4N_4"	44.47	0	0	0	1	28.23	20.26	0	0.08	63	0	0	0	13423	0	0	0	30183	0	0	0	27.3	8239	0	8521	0	71.77	21662	1.56115996592575
"4N_5"	38.94	0	0	1	1	34.24	21.15	0	0.09	56	0	0	0	21656	0	6	0.01	55615	6	0	0.01	26.81	14911	0	19037	0	65.75	36567	2.93115900497544
"4N_6"	40.31	0	0	1.5	1	32.41	20.91	0	0.09	58	0	0	0	27766	0	0	0	68884	7	0	0.01	27.27	18782	0	22329	0	67.58	46548	3.80820234490624
"4N_C3_1"	27.47	0	0	1	1	32.39	20.24	0.01	0.23	52	0	0	0	4588	0	0	0	16704	7	0	0.04	40.1	6699	0	5410	0	67.57	11287	2.75776300390196
"4N_C3_2"	36.36	0	0	0	1	29.27	19.6	0	0.17	59	0	0	0	5020	0	1	0.01	13808	1	0	0.01	34.35	4743	0	4042	0	70.71	9763	2.41723633356524
"4N_C3_3"	41.28	0	0	0	0	37.7	19.91	0	0.04	57	0	0	0	1190	0	0	0	2883	1	0	0.03	20.99	605	0	1087	0	62.27	1795	0.310351743502497
"4N_C3_4"	29.58	0	0	2.2	1	46.88	23.43	0	0.09	42	0	0	0	13232	0	0	0	44731	13	0	0.03	23.5	10514	0	20972	0	53.08	23746	2.2783904082316
"4N_C3_5"	23.75	0	0	0	1	51.5	24.8	0	0.1	35	0	0	0	6507	0	0	0	27398	5	0	0.02	24.72	6773	0	14113	0	48.47	13280	1.15683271745929
