"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"4N_1"	23.91	0	0	0	1	46.52	25.57	0	0.09	37	0	0	0	4219	0	0	0	17645	25	0	0.14	29.43	5193	0	8208	0	53.34	9412	3.53036935345329
"4N_2"	44.94	0	0	0	1	27.75	19.52	0.01	0.06	65	0	0	0	821	0	0	0	1827	0	0	0	27.31	499	0	507	0	72.25	1320	0.44
"4N_3"	41.99	0	0	1	1	29.55	21.77	0.01	0.16	61	0	0	0	3230	0	0	0	7692	3	0	0.04	28.42	2186	0	2273	0	70.41	5416	1.80533333333333
"4N_4"	44.67	0	0	0	0	27.17	20.45	0	0.1	62	0	0	0	2915	0	0	0	6525	0	0	0	28.15	1837	0	1773	0	72.82	4752	1.584
"4N_5"	39.16	0	0	0	1	34.43	21.07	0.01	0.11	56	0	0	0	5241	0	0	0	13382	0	0	0	26.4	3533	0	4608	0	65.56	8774	2.92466666666667
"4N_6"	40.42	0	0	1	1	32.26	21.03	0	0.07	57	0	0	0	6856	0	2	0.01	16963	3	0	0.02	27.3	4631	0	5471	0	67.72	11487	3.829
"4N_C3_1"	27.66	0	0	0	1	32.49	20.15	0.01	0.22	52	0	0	0	3411	0	0	0	12333	2	0	0.02	39.83	4912	0	4008	0	67.49	8323	2.77433333333333
"4N_C3_2"	36.34	0	0	0	1	29.49	19.56	0	0.16	59	0	0	0	3734	0	1	0.01	10276	1	0	0.01	34.16	3510	0	3030	0	70.5	7244	2.41466666666667
"4N_C3_3"	41.34	0	0	0	0	37.49	19.56	0	0.06	58	0	0	0	623	0	0	0	1507	1	0	0.07	21.1	318	0	565	0	62.44	941	0.313666666666667
"4N_C3_4"	29.57	0	0	6	1	47	23.62	0	0.1	42	0	0	0	3792	0	0	0	12822	3	0.01	0.02	23.41	3001	0	6026	0	52.98	6793	2.26433333333333
"4N_C3_5"	23.53	0	0	0	0	51.02	24.56	0	0.09	35	0	0	0	1688	0	0	0	7174	3	0	0.04	25.41	1823	0	3660	0	48.94	3511	1.17033333333333
"4N_C3_6"	28.46	0	0	0	1	48.18	22.33	0	0.09	42	0	0	0	3120	0	0	0	10964	3	0	0.03	23.33	2558	0	5283	0	51.79	5678	1.89266666666667
"4N_CL_1"	19.3	0	0	1.25	1	50.47	31.98	0	0.04	30	0	0	0	21469	0	0	0	111222	44	0	0.04	30.19	33575	0	56134	0	49.49	55044	18.348
"4N_CL_2"	17.85	0	0	1	1	39.59	30.07	0	0.1	32	0	0	0	17681	0	0	0	99027	69	0	0.07	42.48	42070	0	39207	0	60.33	59751	19.984480930609
"4N_CL_3"	15.34	0	0	1	1	45.43	31.11	0.01	0.11	30	0	0	0	16856	0	0	0	109849	461	0	0.42	38.81	42628	0	49904	0	54.15	59484	21.9698396693665
